Procedure;Specialty;Immediate / Intraoperative Complications;Early Post-Operative Complications;Late Post-Operative Complications
arthroscopy;Orthopedic Surgery;"Joint Fluid Extravasation (Irrigation fluid leaking into the surrounding soft tissue); Cartilage or Ligament Injury (Accidental damage to joint structures during instrument insertion); Anesthetic Reaction (Mild reaction to regional or general anesthesia); Bleeding at the Surgical Site (Excessive bleeding during the procedure); Instrument Malfunction (Technical issue with the arthroscopic equipment)";"Joint Swelling (Fluid buildup in the joint after surgery); Stiffness (Limited joint movement); Pain (Joint discomfort after procedure); Nerve Irritation (Temporary nerve irritation); Blood Clot (Clot in deep vein); Joint Infection (Infection in the joint space); Instrument Breakage (Surgical instrument breaks inside joint)";"Chronic Joint Pain (Ongoing discomfort in the joint after healing); Recurrent Joint Instability (The joint continues to feel loose or gives way); Osteoarthritis Progression (Faster wear and tear of joint cartilage over time); Recurrent Swelling (Fluid periodically building up in the joint); Delayed Return of Full Function (Ongoing limitation in joint strength or range of motion)"
lobectomy;Thoracic Surgery;"Shortness of Breath (Difficulty breathing during recovery); Excessive Bleeding (Significant blood loss during lung tissue removal); Injury to Nearby Structures (Accidental damage to blood vessels or the airway); Anesthetic Complications (Reaction related to general anesthesia); Air Leak (Air escaping from the lung tissue during dissection)";"Air Leak (Air leaking from the lung after surgery); Chest Pain (Pain in the chest area after surgery); Wound Infection (Infection at the surgical incision site); Pneumonia (Lung infection after surgery); Bronchopleural Fistula (Abnormal connection between airway and chest cavity); Respiratory Failure (Lungs cannot provide enough oxygen to the body)";"Chronic Chest Pain (Persistent discomfort at the surgical site months later); Reduced Lung Capacity (Long-term decrease in overall breathing capacity); Recurrent Pleural Effusion (Ongoing fluid buildup around the lung); Post-Thoracotomy Pain Syndrome (Chronic nerve-related pain along the incision); Recurrent Cancer or Disease (Return of the original condition in remaining lung tissue)"
craniotomy;Neurosurgery;"Excessive Intraoperative Bleeding (Significant blood loss during brain surgery); Brain Tissue Injury (Accidental damage to healthy brain tissue near the surgical site); Anesthetic Reaction (Complication related to general anesthesia); Injury to Nearby Cranial Nerves (Accidental damage affecting facial movement or sensation); Air Embolism (Air bubble entering the bloodstream during surgery)";"Headache (Pain in the head after brain surgery); Nausea (Feeling sick after anesthesia); Temporary Confusion (Brief period of mental confusion after surgery); Wound Infection (Infection at the skull incision site); Seizures (Abnormal electrical activity in the brain); Brain Swelling (Swelling of brain tissue increasing pressure); Brain Fluid Leak (Leak of cerebrospinal fluid); Stroke (Interrupted blood flow to part of the brain)";"Chronic Headaches (Ongoing head pain months after surgery); Cognitive or Memory Changes (Long-term difficulty with thinking or memory); Bone Flap Complications (Issues with the skull piece not healing properly); Seizure Disorder (New, ongoing seizures developing after surgery); Chronic CSF Leak (Persistent leakage of fluid surrounding the brain)"
thyroidectomy;Endocrine Surgery;"Bleeding (Significant bleeding in the neck area); Injury to the Parathyroid Glands (Accidental damage affecting calcium regulation); Recurrent Laryngeal Nerve Injury (Damage to the nerve controlling the voice box); Tracheal Injury (Accidental damage to the windpipe during dissection); Anesthetic Complications (Reaction related to general anesthesia)";"Hoarseness (Temporary voice changes after surgery); Neck Pain (Pain at the surgical site in the neck); Calcium Changes (Temporary changes in blood calcium levels); Wound Infection (Infection at the neck incision site); Hypoparathyroidism (Low parathyroid hormone affecting calcium)";"Permanent Voice Damage (Permanent injury to the voice box nerves); Long-Term Thyroid Hormone Dependence (Lifelong need for thyroid hormone replacement); Keloid or Hypertrophic Scarring (Raised, thickened scar at the neck incision); Hypothyroidism Requiring Medication (Long-term low thyroid hormone levels needing daily treatment); Scar Sensitivity (Ongoing tenderness or tightness at the neck incision)"
parathyroidectomy;Endocrine Surgery;"Bleeding (Significant bleeding in the neck area); Injury to Nearby Glands (Accidental damage to remaining parathyroid tissue); Recurrent Laryngeal Nerve Injury (Damage to the nerve controlling the voice box); Tracheal Injury (Accidental damage to the windpipe during dissection); Anesthetic Complications (Reaction related to general anesthesia)";"Neck Pain (Pain at the surgical site in the neck); Hoarseness (Temporary voice changes after surgery); Low Calcium (Temporary drop in blood calcium levels); Wound Infection (Infection at the neck incision site); Nerve Damage (Injury to nerves controlling the voice box)";"Persistent Hypocalcemia (Long-term low calcium requiring treatment); Recurrent Hyperparathyroidism (Overactive parathyroid tissue returning over time); Chronic Neck Discomfort (Ongoing soreness at the surgical site); Bone Health Changes (Gradual improvement or ongoing issues with bone density after calcium regulation changes); Recurrent Neck Scarring (Thickened or tender scar tissue at the incision)"
adrenalectomy;Endocrine Surgery;"Fatigue (Tiredness during recovery); Bleeding (Significant internal bleeding); Injury to Nearby Organs (Accidental damage to the kidney, liver, or spleen); Blood Pressure Instability (Sudden swings in blood pressure during gland manipulation); Anesthetic Reaction (Complication related to general anesthesia)";"Abdominal Pain (Pain in the belly area after surgery); Nausea (Feeling sick after anesthesia); Wound Infection (Infection at the abdominal incision site); Injury to Nearby Organs (Accidental damage to kidney, liver, or spleen); Hormone Imbalance (Changes in hormone levels after gland removal)";"Adrenal Insufficiency (Long-term low hormone levels if both glands are affected, requiring lifelong medication); Incisional Hernia (A bulge forming at the surgical site over time); Chronic Abdominal Discomfort (Ongoing soreness at the surgery site); Hormonal Fluctuation (Ongoing adjustment period for the body's hormone balance); Weight or Blood Pressure Changes (Long-term shifts related to altered hormone levels)"
lumpectomy;Breast Surgery;"Bleeding at the Surgical Site (Excessive bleeding during tissue removal); Anesthetic Reaction (Mild reaction to local or general anesthesia); Incomplete Margin Removal (Difficulty confirming all abnormal tissue has been removed); Injury to Nearby Chest Wall Structures (Accidental damage to muscle or rib tissue); Skin Injury (Accidental damage to overlying skin during tissue removal)";"Breast Pain (Pain at the surgical site in the breast); Bruising (Bruising and swelling of the breast); Numbness (Temporary numbness in the breast area); Wound Infection (Infection at the breast incision site); Seroma (Fluid collection under the skin); Asymmetry (Difference in breast appearance after surgery); Lymphedema (Swelling in the arm due to lymph node removal)";"Breast Deformity or Asymmetry (Long-term change in breast shape or size); Chronic Breast Pain (Ongoing tenderness or discomfort); Radiation-Related Skin Changes (Long-term skin changes if radiation therapy follows surgery); Fat Necrosis (Firm lump forming from healing fatty tissue); Need for Additional Surgery (Further procedure required for clear margins or reconstruction)"
pneumonectomy;Thoracic Surgery;"Excessive Bleeding (Significant blood loss during lung removal); Injury to Nearby Structures (Accidental damage to the heart, major vessels, or esophagus); Anesthetic Reaction (Complication related to general anesthesia); Cardiac Arrhythmia (Irregular heartbeat occurring during lung removal); Air Embolism (Air bubble entering the bloodstream during surgery)";"Shortness of Breath (Difficulty breathing after lung removal); Chest Pain (Pain in the chest area after surgery); Fatigue (Tiredness due to reduced lung capacity); Wound Infection (Infection at the chest incision site); Atrial Fibrillation (Irregular heart rhythm after surgery); Bronchopleural Fistula (Abnormal connection between airway and chest cavity); Respiratory Failure (Lungs cannot provide enough oxygen to the body); Empyema (Infection in the space around the lung)";"Post-Pneumonectomy Syndrome (Shifting of chest organs causing airway compression over time); Chronic Shortness of Breath (Long-term reduced breathing capacity); Right Heart Strain (Increased pressure on the heart from reduced lung circulation); Chronic Fatigue (Ongoing tiredness from reduced lung capacity); Postpneumonectomy Empyema (Delayed infection developing in the space where the lung was removed)"
gastrectomy;General Surgery & Gastrointestinal;"Internal Bleeding (Significant bleeding inside the abdomen); Injury to Nearby Organs (Accidental damage to the spleen, pancreas, or esophagus); Anesthetic Reaction (Complication related to general anesthesia); Splenic Injury (Accidental damage to the spleen during dissection); Esophageal Injury (Accidental damage to the esophagus near the stomach connection)";"Abdominal Pain (Pain in the belly area after stomach surgery); Nausea (Feeling sick after anesthesia); Dumping Syndrome (Rapid emptying of stomach contents causing symptoms); Wound Infection (Infection at the abdominal incision site); Leakage (Leakage from where stomach was reconnected); Vitamin Deficiency (Poor absorption of vitamins after stomach removal)";"Chronic Nutrient Malabsorption (Ongoing difficulty absorbing vitamins and minerals); Weight Loss (Long-term difficulty maintaining a healthy weight); Bile Reflux (Chronic backflow of bile causing stomach irritation); Anastomotic Stricture (Narrowing at the surgical connection causing difficulty eating); Anemia (Long-term low red blood cell count from poor nutrient absorption)"
esophagectomy;Thoracic Surgery;"Difficulty Swallowing (Trouble swallowing during recovery); Excessive Bleeding (Significant blood loss during esophagus removal); Injury to Nearby Structures (Accidental damage to the airway or major blood vessels); Cardiac Arrhythmia (Irregular heartbeat occurring during chest surgery); Tracheal or Bronchial Injury (Accidental damage to the airway during dissection)";"Chest Pain (Pain in the chest area after surgery); Reflux (Stomach acid backing up into the esophagus); Wound Infection (Infection at the surgical incision site); Leakage (Leakage from where esophagus was reconnected); Stricture (Narrowing of the esophagus causing swallowing difficulty); Chylothorax (Leakage of lymph fluid into chest cavity)";"Chronic Reflux (Ongoing acid backing up from the stomach); Esophageal Stricture Recurrence (Repeated narrowing requiring dilation); Weight Loss and Nutritional Deficiency (Long-term difficulty maintaining adequate nutrition); Delayed Gastric Emptying (Ongoing slow stomach emptying after reconstruction); Aspiration Risk (Increased chance of food or liquid entering the airway)"
colectomy;General Surgery & Gastrointestinal;"Bleeding from Blood Vessels (Excessive bleeding during bowel removal); Injury to Nearby Organs (Accidental damage to the bladder, ureters, or nearby bowel); Anesthetic Reaction (Complication related to general anesthesia); Splenic Injury (Accidental damage to the spleen during mobilization); Ureteral Injury (Accidental damage to the tube carrying urine from the kidney)";"Abdominal Pain (Pain in the belly area after colon surgery); Bowel Changes (Changes in bowel habits after surgery); Gas and Bloating (Temporary gas and bloating); Wound Infection (Infection at the abdominal incision site); Anastomotic Leak (Leakage from where bowel was reconnected); Bowel Obstruction (Blockage of the intestines); Injury to Nearby Organs (Accidental damage to bladder or ureters)";"Bowel Obstruction from Adhesions (Scar tissue causing a blockage months to years later); Incisional Hernia (A bulge forming at the surgical site over time); Changes in Bowel Habits (Long-term diarrhea, constipation, or urgency); Stoma-Related Complications (Ongoing issues with an ostomy bag if one was created); Vitamin B12 Deficiency (Long-term nutrient deficiency depending on the segment removed)"
hepatectomy;Hepatobiliary Surgery;"Fatigue (Tiredness during recovery); Bleeding (Significant bleeding from liver vessels); Injury to Nearby Organs (Accidental damage to the gallbladder or bile ducts); Air Embolism (Air bubble entering the bloodstream during surgery); Anesthetic Reaction (Complication related to general anesthesia)";"Abdominal Pain (Pain in the belly area after liver surgery); Jaundice (Yellowing of skin and eyes); Wound Infection (Infection at the abdominal incision site); Bile Leak (Leakage of bile from the liver); Liver Failure (Remaining liver cannot function properly)";"Liver Regeneration Complications (Issues with the remaining liver tissue growing back properly); Chronic Abdominal Discomfort (Ongoing soreness at the surgical site); Incisional Hernia (A bulge forming at the surgical site over time); Delayed Liver Function Recovery (Ongoing reduced liver performance during healing); Bile Duct Stricture (Narrowing of the bile ducts developing over time)"
pancreatectomy;Hepatobiliary Surgery;"Internal Bleeding (Significant bleeding inside the abdomen); Injury to Nearby Organs (Accidental damage to the spleen, stomach, or bowel); Anesthetic Reaction (Complication related to general anesthesia); Splenic Injury (Accidental damage to the spleen during dissection); Major Vessel Injury (Accidental damage to large blood vessels near the pancreas)";"Abdominal Pain (Pain in the belly area after pancreas surgery); Digestive Problems (Difficulty digesting food without pancreas enzymes); Diabetes (High blood sugar if pancreas cannot produce insulin); Wound Infection (Infection at the abdominal incision site); Pancreatic Leak (Leakage of pancreatic fluids); Diabetic Complications (Severe diabetes requiring insulin)";"Chronic Digestive Enzyme Deficiency (Long-term need for enzyme replacement to digest food); Diabetes Progression (Worsening blood sugar control if pancreas function declines further); Weight Loss (Ongoing difficulty maintaining weight due to malabsorption); Nutrient Malabsorption (Ongoing difficulty absorbing fats and vitamins); Chronic Abdominal Pain (Long-term discomfort at the surgical site)"
splenectomy;General Surgery;"Bleeding (Significant bleeding from splenic vessels); Injury to Nearby Organs (Accidental damage to the stomach, pancreas, or colon); Anesthetic Reaction (Complication related to general anesthesia); Pancreatic Tail Injury (Accidental damage to the nearby pancreas during removal); Diaphragmatic Injury (Accidental damage to the diaphragm during dissection)";"Abdominal Pain (Pain in the belly area after spleen removal); Increased Infection Risk (Higher risk of certain infections without spleen); Wound Infection (Infection at the abdominal incision site); Injury to Nearby Organs (Accidental damage to stomach, pancreas, or colon); Overwhelming Post-Splenectomy Infection (Severe infection that can be life-threatening)";"Thrombocytosis (High platelet count after spleen removal); Increased Long-Term Infection Risk (Ongoing higher susceptibility to certain infections); Portal Vein Thrombosis (Blood clot forming in a major abdominal vein); Need for Lifelong Vaccinations (Ongoing need for immunizations to reduce infection risk); Chronic Fatigue (Ongoing tiredness during recovery from immune system changes)"
nephrectomy;Urology;"Fatigue (Tiredness during recovery); Bleeding (Significant bleeding from kidney vessels); Injury to Nearby Organs (Accidental damage to the bowel or adrenal gland); Pneumothorax (Air leaking into the space around the lung during upper abdominal surgery); Anesthetic Reaction (Complication related to general anesthesia)";"Flank Pain (Pain in the side or back after kidney removal); Reduced Kidney Function (Temporary decrease in kidney function); Wound Infection (Infection at the abdominal incision site); Injury to Nearby Organs (Accidental damage to liver, spleen, or pancreas); Chronic Kidney Disease (Long-term reduced kidney function)";"Chronic Kidney Disease Progression (Gradual decline in remaining kidney function over years); Incisional Hernia (A bulge forming at the surgical site over time); High Blood Pressure (Long-term elevated blood pressure related to reduced kidney mass); Proteinuria (Long-term protein loss in the urine); Compensatory Kidney Enlargement (The remaining kidney gradually enlarges to take over function)"
prostatectomy;Urology;"Rectal Injury (Damage to the rectum during surgery); Excessive Bleeding (Significant blood loss during prostate removal); Nerve Bundle Injury (Accidental damage to nerves controlling erectile and urinary function); Ureteral Injury (Accidental damage to the tube carrying urine from the kidney); Anesthetic Complications (Reaction related to general or regional anesthesia)";"Urinary Incontinence (Leakage of urine after prostate removal); Erectile Dysfunction (Difficulty achieving erection after surgery); Pelvic Pain (Pain in the pelvic area after surgery); Wound Infection (Infection at the surgical incision site); Bladder Neck Contracture (Narrowing of the bladder neck); Severe Incontinence (Permanent inability to control urine)";"Persistent Erectile Dysfunction (Long-term difficulty achieving erections); Chronic Urinary Incontinence (Ongoing leakage of urine); Urethral Stricture (Narrowing of the urine tube causing difficulty urinating); Penile Shortening (Perceived or measurable shortening of the penis after surgery); Lymphedema (Swelling in the legs if lymph nodes were also removed)"
salpingectomy;Gynecology;"Vaginal Bleeding (Light bleeding after surgery); Shoulder Pain (Referred pain from gas used during surgery); Internal Bleeding (Significant bleeding from fallopian tube vessels); Bowel Injury (Accidental damage to nearby intestines during dissection); Bladder Injury (Accidental damage to the bladder during the procedure)";"Pelvic Pain (Pain in the pelvic area after tube removal); Wound Infection (Infection at the surgical incision site); Injury to Nearby Organs (Accidental damage to uterus or ovaries); Ectopic Pregnancy Risk (Increased risk if one tube remains); Anesthetic Reaction (Mild reaction to general or local anesthesia)";"Chronic Pelvic Pain (Ongoing discomfort in the pelvic area); Hormonal Changes (Changes in the menstrual cycle if blood supply to the ovary is affected); Fertility Impact (Reduced natural fertility, especially if both tubes are removed); Adhesion Formation (Scar tissue developing in the pelvis over time); Early Menopause Risk (Slightly reduced ovarian reserve if blood supply is affected)"
oophorectomy;Gynecology;"Bleeding from Ovarian Vessels (Excessive bleeding during removal of the ovary); Injury to Nearby Organs (Accidental damage to the bowel, bladder, or ureters); Anesthetic Reaction (Mild reaction to general or local anesthesia); Bowel Injury (Accidental damage to nearby intestines during dissection); Ureteral Injury (Accidental damage to the tube carrying urine from the kidney)";"Pelvic Pain (Pain in the pelvic area after ovary removal); Hormonal Changes (Changes in hormone levels after ovary removal); Hot Flashes (Sudden feelings of heat if menopause induced); Wound Infection (Infection at the surgical incision site); Injury to Nearby Organs (Accidental damage to uterus or fallopian tubes); Early Menopause (Immediate onset of menopause symptoms); Osteoporosis Risk (Increased risk of bone loss without estrogen)";"Long-Term Menopausal Symptoms (Persistent hot flashes and hormonal changes if both ovaries are removed); Osteoporosis Risk (Increased long-term risk of bone thinning); Cardiovascular Risk Increase (Higher long-term risk of heart disease due to lost hormone production); Sexual Function Changes (Long-term changes in libido or comfort during intimacy); Mood Changes (Ongoing emotional shifts related to hormonal changes)"
laminectomy;Neurosurgery;"Muscle Spasms (Back muscle tightness during recovery); Bleeding at the Surgical Site (Excessive blood loss during bone removal); Dural Tear (Accidental tear in the membrane surrounding the spinal cord); Anesthetic Reaction (Complication related to general anesthesia); Injury to Nearby Blood Vessels (Accidental damage to vessels near the spine)";"Back Pain (Pain at the surgical site on the back); Temporary Numbness (Numbness in the back or legs); Wound Infection (Infection at the back incision site); Spinal Instability (Spine becomes less stable after bone removal); Nerve Damage (Permanent injury to spinal nerves); Spinal Fluid Leak (Leak of fluid surrounding the spinal cord)";"Chronic Back Pain (Ongoing discomfort at the surgical site); Spinal Instability (Long-term looseness in the spine after bone removal); Recurrent Nerve Compression (Return of nerve pinching due to scar tissue or further degeneration); Progressive Spinal Degeneration (Continued wear at nearby spinal levels); Persistent Weakness or Numbness (Long-term nerve-related symptoms in the legs)"
discectomy;Neurosurgery;"Leg Pain (Pain radiating down the leg during recovery); Nerve Root Injury (Accidental irritation or injury to a spinal nerve); Dural Tear (Accidental tear in the membrane surrounding the spinal cord causing fluid leak); Anesthetic Reaction (Complication related to general anesthesia); Injury to Surrounding Tissue (Accidental damage to nearby muscles or ligaments)";"Back Pain (Pain at the surgical site on the back); Numbness (Temporary numbness in the leg or foot); Wound Infection (Infection at the back incision site); Nerve Damage (Permanent injury to spinal nerves); Dural Tear (Tear in the spinal sac causing fluid leak)";"Recurrent Disc Herniation (Disc material returns to the same location); Chronic Low Back Pain (Ongoing discomfort at the surgical level); Adjacent Segment Degeneration (Extra wear on the spinal level next to the surgery); Persistent Sciatica (Ongoing nerve pain radiating down the leg); Spinal Instability (Long-term looseness in the spine at the treated level)"
